line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only at night,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,11375,online,2019-01-09,07:08:00,1,Wednesday,7,False
Q,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Not satisfied,Rarely,,,Only at night,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",,True,Unaware,,,,online,2019-01-09,07:09:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'High fares', 'Overcrowded trains']",Police incident,True,Positive,,,11237,online,2019-01-09,07:10:00,1,Wednesday,7,False
Q,Everyday / Almost everyday,Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Signal malfunction,False,Positive,,,11226,online,2019-01-09,07:10:00,1,Wednesday,7,False
2,"More than once a week, varies",Walk,Work,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Other / No thoughts,,,10017,online,2019-01-09,07:10:00,1,Wednesday,7,False
A,~5 days per week,Bus,Other,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['High fares', 'Crime / Safety', 'Lack of handicap access']",No reason is given,True,Negative,,,,online,2019-01-09,07:11:00,1,Wednesday,7,False
N,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'High fares', 'Customer service']",Waiting for signal change,True,Positive,,,,online,2019-01-09,07:14:00,1,Wednesday,7,False
5,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Not satisfied,A few times a week,,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Unaware,,,,online,2019-01-09,07:16:00,1,Wednesday,7,False
A,Once a month,Walk,Other,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['High fares', 'Old trains', 'Overcrowded trains']",Signal malfunction,False,Positive,,,10033,online,2019-01-09,07:17:00,1,Wednesday,7,False
A,"Weekdays, Mon - Fri",Walk,Work,60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Signal malfunction,True,Neutral,,,10034,online,2019-01-09,07:18:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Signal malfunction,True,Positive,,,,online,2019-01-09,07:19:00,1,Wednesday,7,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Customer service', 'Station infrastructure']",Train traffic,False,Positive,,,11231,online,2019-01-09,07:21:00,1,Wednesday,7,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Neutral,Rarely,5 - 10 min,For-hire vehicle,Almost never,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Waiting for signal change,True,Positive,,,10021,online,2019-01-09,07:21:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,10025,online,2019-01-09,07:22:00,1,Wednesday,7,False
C,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,Almost never,"['Crime / Safety', 'Overcrowded trains']",Train traffic,True,Neutral,,,,online,2019-01-09,07:23:00,1,Wednesday,7,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Neutral,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,"['Frequent route changes', 'Customer service', 'Station infrastructure']",Signal malfunction,True,Positive,,,11209,online,2019-01-09,07:23:00,1,Wednesday,7,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Other / No thoughts,,,10025,online,2019-01-09,07:26:00,1,Wednesday,7,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Lack of handicap access']",Train traffic,True,Positive,,,,online,2019-01-09,07:26:00,1,Wednesday,7,False
A,"More than once a week, varies",Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,07:27:00,1,Wednesday,7,False
1,~5 days per week,Walk,Work,40 - 60 min,Very satisfied,Almost never,10 - 20 min,Use another train,Only on weekends,"['Station infrastructure', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Neutral,,,,online,2019-01-09,07:27:00,1,Wednesday,7,False
2,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,['Lack of handicap access'],Train traffic,True,Other / No thoughts,,,10025,online,2019-01-09,07:27:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Take a bus,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,False,Negative,,,10456,online,2019-01-09,07:29:00,1,Wednesday,7,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['High fares', 'Crime / Safety', 'Station infrastructure']",Train traffic,False,Negative,,,,online,2019-01-09,07:29:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,,,10031,online,2019-01-09,07:30:00,1,Wednesday,7,False
1,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,For-hire vehicle,,"['Delays', 'Crime / Safety', 'Lack of handicap access']",Train traffic,False,Negative,,,,online,2019-01-09,07:30:00,1,Wednesday,7,False
E,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Positive,,,11372,online,2019-01-09,07:30:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,"['Delays', 'High fares', 'Customer service']",Train traffic,False,Positive,,,10035,online,2019-01-09,07:31:00,1,Wednesday,7,False
A,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,10034,online,2019-01-09,07:32:00,1,Wednesday,7,False
G,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,False,Unaware,,,,online,2019-01-09,07:32:00,1,Wednesday,7,False
1,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Waiting for signal change,False,Positive,,,11216,online,2019-01-09,07:33:00,1,Wednesday,7,False
B,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Unaware,,,,online,2019-01-09,07:33:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Signal malfunction,True,Positive,,,11375,online,2019-01-09,07:34:00,1,Wednesday,7,False
F,~5 days per week,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,,,,online,2019-01-09,07:34:00,1,Wednesday,7,False
2,"More than once a week, varies",Walk,Other,20 - 40 min,Very satisfied,,5 - 10 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Negative,,,10027,online,2019-01-09,07:36:00,1,Wednesday,7,False
A,"More than once a week, varies",Walk,Work,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Customer service', 'Overcrowded trains']",No reason is given,True,Positive,,,,online,2019-01-09,07:38:00,1,Wednesday,7,False
C,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Very satisfied,Rarely,5 - 10 min,Use another train,Almost never,"['Crime / Safety', 'Lack of handicap access']",Train traffic,True,Other / No thoughts,,,,online,2019-01-09,07:39:00,1,Wednesday,7,False
4,Once a month,Metro North,Other,< 20 min,Highly unsatisfied,Everyday,5 - 10 min,Take a bus,All the time,"['Delays', 'Crime / Safety', 'Customer service']",No reason is given,True,Positive,,,,online,2019-01-09,07:39:00,1,Wednesday,7,False
A,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Unaware,,,10033,online,2019-01-09,07:40:00,1,Wednesday,7,False
C,Everyday / Almost everyday,Walk,Work,40 - 60 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,07:40:00,1,Wednesday,7,False
2,Everyday / Almost everyday,Walk,Work,< 20 min,Very satisfied,Rarely,5 - 10 min,For-hire vehicle,Almost never,"['High fares', 'Customer service', 'Old trains']",Waiting for signal change,False,Positive,,,,online,2019-01-09,07:41:00,1,Wednesday,7,False
F,~5 days per week,Walk,Other,20 - 40 min,Not satisfied,Rarely,5 - 10 min,Take a bus,Only on weekends,"['Frequent route changes', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Other / No thoughts,,,10002,online,2019-01-09,07:41:00,1,Wednesday,7,False
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Crime / Safety', 'Station infrastructure']",Waiting for signal change,False,Positive,,,,online,2019-01-09,07:41:00,1,Wednesday,7,False
2,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Crime / Safety']",Train traffic,True,Neutral,,,,online,2019-01-09,07:42:00,1,Wednesday,7,False
N,"More than once a week, varies",Walk,Work,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Station infrastructure']",No reason is given,True,Neutral,,,,online,2019-01-09,07:43:00,1,Wednesday,7,False
E,Once a week,Walk,Other,20 - 40 min,Neutral,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Positive,,,,online,2019-01-09,07:44:00,1,Wednesday,7,False
F,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes']",Signal malfunction,True,Neutral,,,,online,2019-01-09,07:45:00,1,Wednesday,7,False
6,Once a week,Walk,Work,20 - 40 min,Not satisfied,Rarely,,,All the time,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,True,Unaware,,,10014,online,2019-01-09,07:45:00,1,Wednesday,7,False
E,Everyday / Almost everyday,Walk,Work,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Station infrastructure', 'Old trains']",Waiting for signal change,False,Negative,,,11375,online,2019-01-09,07:45:00,1,Wednesday,7,False
F,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,['Delays'],Signal malfunction,True,Positive,,,,online,2019-01-09,07:46:00,1,Wednesday,7,False
J,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,,Sick passenger,True,Unaware,,,,online,2019-01-09,07:47:00,1,Wednesday,7,False
E,"Weekdays, Mon - Fri",LIRR,Work,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,Only at night,"['Delays', 'Overcrowded trains', 'Lack of handicap access']",Train traffic,True,Negative,,,11579,online,2019-01-09,07:47:00,1,Wednesday,7,False
A,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Positive,,,,online,2019-01-09,07:47:00,1,Wednesday,7,False
M,"Weekdays, Mon - Fri",Bus,Work,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,"['Delays', 'Customer service', 'Station infrastructure']",No reason is given,False,Positive,,,,online,2019-01-09,07:48:00,1,Wednesday,7,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,,Only on weekends,"['Delays', 'Crime / Safety', 'Station infrastructure']",Train traffic,True,Positive,,,10021,online,2019-01-09,07:49:00,1,Wednesday,7,False
5,Everyday / Almost everyday,Walk,Work,< 20 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Delays', 'Customer service', 'Overcrowded trains']",Train traffic,True,Positive,,,10017,online,2019-01-09,07:49:00,1,Wednesday,7,False
N,Everyday / Almost everyday,Walk,Work,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Crime / Safety']",No reason is given,True,Positive,,,11357,online,2019-01-09,07:50:00,1,Wednesday,7,False
1,~5 days per week,Walk,Work,< 20 min,Not satisfied,Rarely,5 - 10 min,Walk,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Neutral,,,10023,online,2019-01-09,07:50:00,1,Wednesday,7,False
2,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,Rarely,5 - 10 min,,Only at night,"['Frequent route changes', 'Crime / Safety', 'Station infrastructure']",No reason is given,True,Negative,,,10023,online,2019-01-09,07:51:00,1,Wednesday,7,False
1,"More than once a week, varies",Walk,Work,< 20 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,True,Positive,,,10024,online,2019-01-09,07:52:00,1,Wednesday,7,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,['Delays'],Signal malfunction,True,Positive,,,,online,2019-01-09,07:52:00,1,Wednesday,7,False
R,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,11220,online,2019-01-09,07:53:00,1,Wednesday,7,False
1,"More than once a week, varies",Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'Customer service', 'Overcrowded trains']",No reason is given,True,Positive,,,10011,online,2019-01-09,07:53:00,1,Wednesday,7,False
1,"Weekdays, Mon - Fri",Ferry,Work,90 min - 2 hours,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,"['Frequent route changes', 'Station infrastructure', 'Old trains']",Train traffic,False,Positive,,,10304,online,2019-01-09,07:53:00,1,Wednesday,7,False
6,Everyday / Almost everyday,Walk,Work,< 20 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,Only at night,"['Delays', 'Old trains']",No reason is given,True,Unaware,,,,online,2019-01-09,07:55:00,1,Wednesday,7,False
F,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,,,,online,2019-01-09,07:56:00,1,Wednesday,7,False
Q,Everyday / Almost everyday,Walk,Other,< 20 min,Very satisfied,Almost never,,,Only on weekends,['Frequent route changes'],No reason is given,True,Unaware,,,10075,online,2019-01-09,07:57:00,1,Wednesday,7,False
